TF_CellLine_Antibody_Lab,pool_type,neu_type,learning_steps,learning_rate,momentum,sigmaConv,dropprob,sigmaNeu,beta1,beta2,beta3
ARID3A_K562_ARID3A_(sc-8821)_Stanford,maxavg,nohidden,20000,0.001984311356328468,0.9829025465453807,0.0006138055932775979,0.75,0.004031034471058009,3.063430264600622e-08,3.134812291381788e-05,2.243494133515108e-09
CTCFL_K562_CTCFL_(SC-98982)_HudsonAlpha,maxavg,hidden,8000,0.017930592018429472,0.9739214561512546,2.2932367829783597e-07,1.0,3.095323093962562e-05,3.58896758956335e-08,1.993989361385045e-09,1.0411736980045588e-07
ELK1_GM12878_ELK1_(1277-1)_Stanford,maxavg,hidden,8000,0.002637969772627659,0.980116206722275,0.0007166743767315427,0.5,0.004215769402742296,1.9910528029245976e-05,8.759637740128989e-09,6.745596095255953e-07
FOXA1_HepG2_FOXA1_(SC-101058)_HudsonAlpha,maxavg,hidden,20000,0.00508700643696489,0.9778085208494118,3.468664299103713e-05,1.0,0.0011401518016726858,8.557828372420643e-07,9.518932406578909e-07,4.3250412414652915e-07
GABPA_GM12878_GABP_HudsonAlpha,max,hidden,8000,0.0010323661115213766,0.9606897904604902,5.824271882885078e-05,1.0,0.001024174822423835,2.7009660531108942e-14,1.6462055657010996e-07,1.3222526528154725e-05
MYC_H1-hESC_c-Myc_Stanford,max,hidden,20000,0.0011072825853821755,0.9528576112059096,2.3730554452749478e-05,0.5,2.3647958609661965e-05,1.379028087595841e-07,1.802322707357654e-06,1.590765675690001e-06
REST_GM12878_NRSF_HudsonAlpha,maxavg,hidden,4000,0.007384829156762658,0.9684726939128783,3.8002172488965928e-06,1.0,0.004039412418561304,9.768267479972244e-14,3.2244683891962573e-09,2.5675471350773483e-10
SP1_GM12878_SP1_HudsonAlpha,maxavg,hidden,20000,0.018533660951770642,0.9765610709830401,0.0001887172843885782,0.75,7.536810620896392e-05,2.7925500834854856e-14,1.7323093841088815e-09,2.0297011186903594e-09
USF1_HepG2_USF-1_HudsonAlpha,max,hidden,16000,0.00431030053174979,0.9537820709689752,3.4657606312857826e-07,1.0,0.00023088217147840885,9.360376193434005e-12,4.011139009419473e-08,1.6521062401016027e-10
ZBTB7A_HepG2_ZBTB7A_(SC-34508)_HudsonAlpha,maxavg,nohidden,16000,0.0051985972317346125,0.9827472665845223,0.0005514439164093742,0.75,5.6777172730760944e-05,5.283330804673452e-07,1.193339537753788e-05,4.456020855192276e-06
